course_id,missing_prereq,roster
FA14-CS-2024-1,CS 2022,FA14
FA14-CS-2110-1,CS 1130,FA14
FA14-CS-2110-1,CS 1114,FA14
FA14-CS-2110-1,CS 1115,FA14
FA14-CS-2112-1,CS 1130,FA14
FA14-CS-3110-1,CS 3410,FA14
FA14-CS-3110-1,CS 3420,FA14
FA14-CS-4154-1,INFO 2450,FA14
FA14-CS-4300-2,INFO 2950,FA14
FA14-CS-4300-2,INFO 3300,FA14
FA14-CS-4410-1,CS 3410,FA14
FA14-CS-4410-1,CS 3420,FA14
FA14-CS-4420-2,CS 3420,FA14
FA14-CS-4420-2,ECE 3140,FA14
FA14-CS-4420-2,CS 3410,FA14
FA14-CS-4744-3,LING 3302,FA14
FA14-CS-4744-3,LING 3303,FA14
FA14-CS-5420-2,ECE 4750,FA14
FA14-CS-5434-1,CS 2022,FA14
FA14-CS-5434-1,CS 3410,FA14
FA14-CS-5435-1,CS 4820,FA14
FA14-CS-5722-3,CEE 3200,FA14
FA14-CS-5722-3,ENGRD 3200,FA14
FA14-CS-6644-1,CS 4670,FA14
FA14-CS-6644-1,CS 5670,FA14
FA14-CS-6751-1,MAE 4180,FA14
FA14-CS-6751-1,CS 4758,FA14
FA14-CS-6783-1,CS 4786,FA14
FA14-CS-6783-1,CS 5786,FA14
FA14-CS-6783-1,CS 6780,FA14
FA14-CS-6820-1,CS 4820,FA14
FA14-CS-7190-1,CS 6110,FA14
FA14-ENGRD-2020-1,PHYS 1112,FA14
FA14-ENGRD-2100-1,PHYS 2213,FA14
FA14-ENGRD-2110-2,CS 1130,FA14
FA14-ENGRD-2112-2,CS 1130,FA14
FA14-ENGRD-2210-1,PHYS 1112,FA14
FA14-ENGRD-2510-2,CHEM 2070,FA14
FA14-ENGRD-2510-2,CHEM 2090,FA14
FA14-ENGRD-2600-2,BIOG 1445,FA14
FA14-ENGRD-2610-2,PHYS 1112,FA14
FA14-ENGRD-3100-2,PHYS 2213,FA14
FA14-MATH-1120-1,MATH 1106,FA14
FA14-MATH-3110-1,MATH 2240,FA14
FA14-MATH-3210-1,MATH 2240,FA14
FA14-MATH-3230-1,MATH 2240,FA14
FA14-MATH-4130-1,MATH 2240,FA14
FA14-MATH-4180-1,MATH 2240,FA14
FA14-MATH-4200-1,MATH 2240,FA14
FA14-MATH-6710-1,MATH 4140,FA14
FA14-MATH-7740-1,MATH 6740,FA14
